Estudio	Ensayo	chi2	L	P	Inh	Trest	Trelative	C_h	Tipo_red
Chi30_zscore_L20	268	79087.8663	26	0.50836054691628	0.2975484513188206	5.650219928590161	12.539072949091068	0.8733229158608077	1
Chi30_zscore_L20	269	1677.5440	28	0.160071634954573	0.4615574744197899	0.09331619827093296	2.5601048434871627	0.7264617151130048	2
Chi30_zscore_L20	272	79087.8663	28	0.2024805601652374	0.9580734801193802	3.679407513020845	6.948723676401636	0.14888805033244468	0
Chi30_zscore_L20	273	79087.8663	29	0.9963343376272473	0.36830953050684834	4.486106309545425	11.706815691572796	0.8861957804650745	1
Chi30_zscore_L20	274	27938.4574	24	0.41262184084862374	0.6956181464968069	0.032182636042786816	6.228076010641194	0.3554930104413574	2
Chi30_zscore_L20	276	79087.8663	26	0.6034876665964548	0.6764679372263622	8.049889996807698	10.748097198089841	0.8250494101800621	1
Chi30_zscore_L20	279	79087.8663	28	0.9983475113929496	0.9331133313435577	6.425651995351915	10.638132528292633	0.6361773647082327	2
Chi30_zscore_L20	281	10271.2971	23	0.33451128874193214	0.026196708532064794	0.24191763891355245	8.558888075671288	0.2730708099728124	1
Chi30_zscore_L20	282	79087.8663	23	0.9406792451153405	0.25929675886577375	4.296568127389351	13.02387063223537	0.8419335667918086	0
Chi30_zscore_L20	283	79087.8663	28	0.45818688673789265	0.4829688720853552	1.3347997241594378	2.1408148617306844	0.7279393069737652	1
Chi30_zscore_L20	285	23942.0654	27	0.956614621083458	0.06895801635642118	0.5705472115125432	3.392417958444544	0.26170568373590597	0
Chi30_zscore_L20	286	79087.8663	29	0.2495461998495061	0.271949726128631	7.593982624179637	12.091381048685037	0.7767105569551812	0
Chi30_zscore_L20	288	79087.8663	23	0.8998333456872725	0.0218233967754895	6.637896861755891	16.271841203891395	0.5601681834618419	2
Chi30_zscore_L20	292	79087.8663	29	0.7228143032084837	0.06766836190000158	7.078350972297686	12.513733145724146	0.08172534574677826	1
Chi30_zscore_L20	294	79087.8663	27	0.5454318694069055	0.062273105881885615	5.125026487703317	13.189062660031713	0.45923987759695806	0
Chi30_zscore_L20	295	79087.8663	28	0.2013637821359744	0.2586208348880388	1.647063534322959	4.949214183037935	0.756751505688635	1
Chi30_zscore_L20	297	79087.8663	28	0.027167421225559818	0.06520459126049205	4.639313768123328	13.73151582673893	0.5387017979527142	1
Chi30_zscore_L20	301	79087.8663	29	0.2769044873778089	0.9835214727152221	1.4071152804875842	3.4272719645124843	0.18422483923802613	2
Chi30_zscore_L20	302	79087.8663	27	0.15210428322227287	0.440323418368349	6.15298025069802	6.987621100591853	0.8824163684073387	2
Chi30_zscore_L20	304	10898.2560	29	0.42748968792061515	0.16223340578247936	0.1260751997575904	5.7236320361414155	0.5273996221226763	2
Chi30_zscore_L20	305	79087.8663	29	0.07940658464302952	0.7314964903403623	1.8741194409758222	10.45588997254746	0.8190635138616561	1
Chi30_zscore_L20	306	79087.8663	27	0.3143501131837484	0.47116789893281463	8.216368977104716	12.809020948836855	0.3577982653254418	1
Chi30_zscore_L20	307	79087.8663	29	0.33520804737087273	0.1737615931357438	7.120140203307807	15.379922330388624	0.10063747852353333	0
Chi30_zscore_L20	309	79087.8663	29	0.47128716739816456	0.9791049380151545	6.3414213829573685	7.604068798602396	0.676177562075434	0
Chi30_zscore_L20	310	79087.8663	27	0.06964114816240574	0.1748814371759594	8.557372589057863	10.829168159293012	0.83704112524294	0
Chi30_zscore_L20	311	79087.8663	27	0.694150573509831	0.5126547531450529	3.053106766967313	5.179550530678274	0.03318935456242622	0
Chi30_zscore_L20	312	79087.8663	27	0.9383048184484827	0.871204482263052	7.660647765353026	15.545121197886013	0.6649849034759953	0
Chi30_zscore_L20	313	79087.8663	29	0.670732311905834	0.56044063098044	1.1098946921348107	5.580450130199065	0.4603582712019263	2
Chi30_zscore_L20	314	79087.8663	26	0.38040054897040965	0.9768003285106593	1.1072059332631567	5.332690216382603	0.04202467517140529	2
Chi30_zscore_L20	317	22286.4798	21	0.7036859774607958	0.5406984766449103	0.9653447019544081	3.384282984542798	0.01240403627731479	1
Chi30_zscore_L20	318	79087.8663	23	0.5983574842977588	0.2972378077086172	2.9991911150698467	10.43112310238588	0.04814283597835345	2
Chi30_zscore_L20	319	79087.8663	29	0.6678046832264065	0.5932215701073843	8.923024981396523	10.776326776683668	0.07896916219082861	0
Chi30_zscore_L20	320	79087.8663	28	0.03467026672648332	0.5828068350834896	9.954375161913099	18.511336100288492	0.5214456890435895	0
Chi30_zscore_L20	321	6080.0872	29	0.5989785081772105	0.11493299705956683	0.938572848233562	10.034841042599487	0.6692002629380784	2
Chi30_zscore_L20	322	79087.8663	29	0.5717723520483222	0.5174463517550413	4.304274103209902	7.473739981121096	0.43459596085871177	2
Chi30_zscore_L20	323	79087.8663	26	0.8925232899548461	0.4433800143791877	6.07089578718754	12.383971318107427	0.5916971623063255	2
Chi30_zscore_L20	325	79087.8663	26	0.7435939161765598	0.5062660594952028	6.341040313763314	7.050362475101048	0.254391580841847	1
Chi30_zscore_L20	329	298.4061	23	0.9317537194328164	0.39701504123719167	0.8709276679577149	7.041592829135728	0.11383839347660141	1
Chi30_zscore_L20	332	23965.4581	29	0.9550605114849889	0.8211982825502265	0.01565105191472904	6.3796647537487985	0.051135381442100725	0
Chi30_zscore_L20	334	554.5344	21	0.4189477901874754	0.7511780478084181	0.7100766453325547	1.5118767861515892	0.3547712918359842	2
Chi30_zscore_L20	335	79087.8663	27	0.6786699566725648	0.36191999083786497	5.9366079120853845	6.037919752362818	0.6360960464095422	2
Chi30_zscore_L20	336	79087.8663	26	0.873698593466345	0.7239730554660938	1.2055841640369025	10.230117236895321	0.06644384435577488	1
Chi30_zscore_L20	340	79087.8663	29	0.8575623376612838	0.9166352358412073	4.309852205132962	7.4985203883443505	0.5821987465941139	1
Chi30_zscore_L20	341	79087.8663	26	0.7055858626438246	0.6884050184921369	3.7455288702012135	5.414130887188742	0.43052933846220753	0
Chi30_zscore_L20	342	192.3595	29	0.3458774607378574	0.15445974722332378	0.2544775990575088	6.712701461922352	0.6369023174547432	1
Chi30_zscore_L20	345	41008.6832	30	0.3842067129858002	0.03899601257491159	0.3095579091934353	4.18942550866213	0.16002493646319405	0
Chi30_zscore_L20	346	79087.8663	28	0.4585230088818907	0.2892447719726545	9.000831830164808	10.162221432170064	0.9559188289553192	0
Chi30_zscore_L20	347	79087.8663	29	0.6029428764794615	0.8267073597414875	9.840131632104644	12.724186010292101	0.961135485407593	1
Chi30_zscore_L20	349	79087.8663	29	0.44044135031242404	0.30233324935149375	2.5933489731709445	4.539587340219664	0.05764758219902488	1
Chi30_zscore_L20	351	79087.8663	26	0.4888978317924514	0.40177880065432425	9.938483888996982	18.741631510486254	0.6234059581594401	1
Chi30_zscore_L20	352	1916.9900	26	0.20131210782243325	0.3951377432643186	0.3945953289089932	5.15005570377726	0.5430245839576632	0
Chi30_zscore_L20	356	79087.8663	28	0.3865405068230279	0.5112754622007512	4.9232548000118195	10.696045092343132	0.8655771456245522	2
Chi30_zscore_L20	358	79087.8663	29	0.4391498166337483	0.8469688542070605	8.930902051954149	9.555477988144863	0.8834647629860607	1
Chi30_zscore_L20	359	24227.1465	25	0.6265925110932102	0.9263826067300868	0.1911609442976403	4.959595627475811	0.6877220424305607	2
Chi30_zscore_L20	360	79087.8663	27	0.13443512940812186	0.29939558837168123	3.587155254170135	11.631527330965184	0.278759872414553	0
Chi30_zscore_L20	362	79087.8663	28	0.8341445970006758	0.7404761319535191	1.428502873008386	8.962782095578076	0.768922782107641	1
Chi30_zscore_L20	363	20573.2032	28	0.8459214396777321	0.6136041142374584	0.8860471396967906	5.762325236368899	0.07764933467160506	1
Chi30_zscore_L20	365	142.9006	30	0.5225765993367452	0.2995656779538739	0.7686207527616351	5.774863433465812	0.7945155444907487	2
Chi30_zscore_L20	369	11384.0612	24	0.5858647884535192	0.6247838627894025	0.7177580622651303	7.543930274499154	0.24193168031552958	2
Chi30_zscore_L20	370	79087.8663	29	0.8039585075525203	0.5525009674078891	5.201698923107512	6.630458536501629	0.7753461504031356	0
Chi30_zscore_L20	374	79087.8663	29	0.31334791758514313	0.7889324717760072	8.918721448107348	13.256895643872642	0.909943143854392	1
Chi30_zscore_L20	377	79087.8663	27	0.29805220863944315	0.10536492225085647	7.818238633449356	14.259730848208514	0.04818601239329623	1
Chi30_zscore_L20	381	79087.8663	27	0.7385974581323307	0.31562734376335	6.448326040223138	10.399635116338171	0.7132068832826177	0
Chi30_zscore_L20	382	4490.4116	29	0.28740959646557973	0.3677859877561529	0.5809195208034978	1.6960416440162618	0.5158619027123281	0
Chi30_zscore_L20	383	79087.8663	29	0.014693388654953843	0.3790940486719362	3.3734554676909267	3.566731776866937	0.12436839900051022	1
Chi30_zscore_L20	387	79087.8663	23	0.7731418739186715	0.5179605277125789	3.480955931682881	7.198348880746184	0.0013536257154681541	0
